  41500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a53, Fetch PC:0x7ffff7dd8a50
  49500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a4f, Fetch PC:0x7ffff7dd8a48
  42500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a50
  42500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a50
  50000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a4f, Fetch PC:0x7ffff7dd8a50
  43000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a58
  43000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a58
  50500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a53, Fetch PC:0x7ffff7dd8a50
  43500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5a, Fetch PC:0x7ffff7dd8a58
  43500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5a, Fetch PC:0x7ffff7dd8a58
  51500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a50
  52000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a58
  52000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a58
  44000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5d, Fetch PC:0x7ffff7dd8a58
  52500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5a, Fetch PC:0x7ffff7dd8a58
  45500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a58
  45500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a58
  53000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5d, Fetch PC:0x7ffff7dd8a58
  46000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a60
  46000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a60
  54500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a58
  55000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a60
  55000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a60
  47000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a63, Fetch PC:0x7ffff7dd8a60
  56000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a63, Fetch PC:0x7ffff7dd8a60
  48500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a48, Fetch PC:0x7ffff7dd8a48
  48500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a48, Fetch PC:0x7ffff7dd8a48
  57500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a65, Fetch PC:0x7ffff7dd8a60
  49500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a4f, Fetch PC:0x7ffff7dd8a48
  49500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a4f, Fetch PC:0x7ffff7dd8a48
  58000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a68, Fetch PC:0x7ffff7dd8a68
  50000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a4f, Fetch PC:0x7ffff7dd8a50
  50000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a4f, Fetch PC:0x7ffff7dd8a50
  58500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a6b, Fetch PC:0x7ffff7dd8a68
  50500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a53, Fetch PC:0x7ffff7dd8a50
  50500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a53, Fetch PC:0x7ffff7dd8a50
  59500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a6f, Fetch PC:0x7ffff7dd8a68
  60000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a6f, Fetch PC:0x7ffff7dd8a70
  60000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a6f, Fetch PC:0x7ffff7dd8a70
  51500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a50
  61500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8c68, Fetch PC:0x7ffff7dd8c68
  61500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8c68, Fetch PC:0x7ffff7dd8c68
